ArraySize	Hit%	Miss%	AvgTime_us	AvgIndexFound *** trails = 5000 *** 
1000	32.57	67.43	3.00	418.81
11000	30.73	69.27	16.87	4613.94
21000	30.37	69.63	24.84	8881.47
31000	30.37	69.63	36.34	12801.67
41000	31.77	68.23	48.15	17193.78
51000	31.67	68.33	60.56	21203.42
61000	31.77	68.23	73.05	25374.58
71000	32.10	67.90	86.45	30330.55
81000	30.13	69.87	97.45	34021.02
91000	32.37	67.63	109.75	38003.10
101000	31.07	68.93	121.05	41297.10
111000	32.30	67.70	131.23	46478.72
121000	32.63	67.37	142.56	50485.85
131000	31.87	68.13	155.30	54550.87
141000	32.70	67.30	169.27	59908.81
151000	31.97	68.03	179.11	61210.75
161000	31.10	68.90	191.92	67051.17
171000	33.00	67.00	203.25	71782.25
181000	30.57	69.43	219.38	78148.96
191000	33.10	66.90	225.00	78853.96
201000	30.20	69.80	242.97	84598.66
211000	32.30	67.70	251.56	87508.78
221000	31.90	68.10	265.82	95359.59
231000	31.73	68.27	278.35	98140.70
241000	30.53	69.47	291.84	101119.08
251000	31.50	68.50	303.38	108742.24
261000	30.90	69.10	317.02	112459.81
271000	30.93	69.07	327.06	112020.99
281000	30.80	69.20	337.19	112606.48
291000	30.77	69.23	356.13	123094.28
301000	31.13	68.87	365.44	126708.58
311000	31.83	68.17	376.82	134539.95
321000	32.00	68.00	385.66	133627.99
331000	31.37	68.63	401.61	136331.72
341000	33.10	66.90	409.63	145750.70
351000	33.10	66.90	422.52	150374.19
361000	30.97	69.03	440.57	151292.64
371000	31.97	68.03	450.41	154773.69
381000	32.73	67.27	457.27	154395.42
391000	31.80	68.20	471.89	159565.05
401000	31.97	68.03	487.62	166356.27
411000	31.40	68.60	499.70	168012.93
421000	31.67	68.33	517.09	185256.75
431000	31.07	68.93	531.36	180798.12
441000	30.47	69.53	545.86	184429.08
451000	31.73	68.27	548.48	182378.35
461000	32.47	67.53	564.84	198607.15
471000	32.40	67.60	575.93	195639.85
481000	29.87	70.13	599.46	201683.16
491000	30.20	69.80	608.30	197609.13
