ArraySize	Hit%	Miss%	AvgTime_us	AvgIndexFound *** for trials = 3000 *** 
1000	32.70	67.30	2.37	400.41
2000	31.13	68.87	3.87	854.68
3000	31.13	68.87	5.01	1264.07
4000	33.63	66.37	5.56	1603.57
5000	31.30	68.70	6.47	2074.37
6000	30.47	69.53	7.36	2510.65
7000	31.70	68.30	8.25	2935.91
8000	31.30	68.70	9.43	3377.36
9000	32.27	67.73	10.49	3742.01
10000	31.33	68.67	11.59	4099.24
11000	31.80	68.20	13.30	4709.73
12000	30.60	69.40	14.27	4984.99
13000	31.93	68.07	15.27	5462.43
14000	31.13	68.87	16.14	5693.08
15000	29.23	70.77	17.85	6279.94
16000	32.70	67.30	18.49	6995.56
17000	31.70	68.30	19.86	7060.76
18000	30.97	69.03	21.28	7525.97
19000	33.70	66.30	22.12	8122.89
20000	31.23	68.77	23.53	8568.45
21000	32.40	67.60	24.80	8996.30
22000	31.93	68.07	25.50	9079.13
23000	30.70	69.30	27.37	9694.32
24000	31.73	68.27	28.91	10314.06
25000	31.67	68.33	29.78	10703.37
26000	30.23	69.77	31.10	10653.78
27000	29.40	70.60	32.50	11083.08
28000	31.30	68.70	32.97	11923.91
29000	33.40	66.60	33.79	12231.32
30000	31.00	69.00	35.81	12642.24
31000	31.10	68.90	39.72	13230.17
32000	31.17	68.83	39.73	13413.89
33000	33.37	66.63	39.33	13872.49
34000	33.90	66.10	43.02	14305.84
35000	32.13	67.87	44.26	14417.45
36000	32.23	67.77	45.41	15435.52
37000	31.77	68.23	47.22	15341.92
38000	31.73	68.27	47.99	15949.99
39000	32.40	67.60	50.92	16228.87
40000	31.23	68.77	52.34	16325.14
41000	31.70	68.30	54.22	17587.27
42000	32.33	67.67	51.36	17407.10
43000	31.77	68.23	52.95	17811.93
44000	32.03	67.97	54.29	18212.30
45000	30.77	69.23	56.59	18679.36
46000	30.80	69.20	57.43	19540.75
47000	33.10	66.90	56.84	19815.08
48000	31.83	68.17	58.00	20201.92
49000	30.07	69.93	59.93	20863.46
